Body,    Mass,        JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ
Sun,     1.9891E+30,  2460137.500000000, A.D. 2023-Jul-12 00:00:00.0000, -1.296017248118172E+06, -2.337495044428839E+05,  3.212375063867877E+04,  5.241266085107748E-03, -1.431905791075515E-02,  1.150594182148038E-06
Mercury, 3.3022E+23,  2460137.500000000, A.D. 2023-Jul-12 00:00:00.0000, -5.085637428483754E+07,  1.944642135684900E+07,  6.186300055580952E+06, -2.802187067665415E+01, -4.321743506799383E+01, -9.598060767084018E-01
Venus,   4.8685E+24,  2460137.500000000, A.D. 2023-Jul-12 00:00:00.0000, -3.585172528097961E+06, -1.089458888017629E+08, -1.328355104419440E+06,  3.478362510385971E+01, -8.818764754403676E-01, -2.018711982409714E+00
Earth,   5.9736E+24,  2460137.500000000, A.D. 2023-Jul-12 00:00:00.0000,  4.848699560241013E+07, -1.439397562999847E+08,  3.931407977953553E+04,  2.767608177941993E+01,  9.614571634814915E+00, -1.718473867297732E-03
Mars,    6.4185E+23,  2460137.500000000, A.D. 2023-Jul-12 00:00:00.0000, -2.480149682310914E+08,  2.311697912825998E+07,  6.573435869818931E+06, -1.373649815999955E+00, -2.206771889922939E+01, -4.283702423805122E-01
Jupiter, 1.8986E+27,  2460137.500000000, A.D. 2023-Jul-12 00:00:00.0000,  6.425714217228100E+08,  3.681036910850507E+08, -1.590328523949817E+07, -6.640434368875927E+00,  1.195255501555760E+01,  9.895152074812241E-02
Saturn,  5.6846E+26,  2460137.500000000, A.D. 2023-Jul-12 00:00:00.0000,  1.291112166569244E+09, -6.866254641874517E+08, -3.946645472253212E+07,  3.996753073780103E+00,  8.509935130851263E+00, -3.072024430632512E-01
Uranus,  8.6820E+25,  2460137.500000000, A.D. 2023-Jul-12 00:00:00.0000,  1.913597947741677E+09,  2.228199666832392E+09, -1.651542001016700E+07, -5.216177925821220E+00,  4.119533697381311E+00,  8.276740315420805E-02
Neptune, 1.0240E+26,  2460137.500000000, A.D. 2023-Jul-12 00:00:00.0000,  4.458175253441712E+09, -3.498789201140285E+08, -9.553796327535851E+07,  3.898364066012021E-01,  5.451049229296919E+00, -1.214789424727409E-01
Pluto,   1.4710E+22,  2460137.500000000, A.D. 2023-Jul-12 00:00:00.0000,  2.500340498722713E+09, -4.560805379127281E+09, -2.352150409330621E+08,  4.894681521390455E+00,  1.406426781386698E+00, -1.583510704610280E+00


